station-name,is-accessible,borough,lines,number-of-elevators,is-northbound-only,is-southbound-only,,
1 Av,,,,,,,,
103 St,,,,,,,,
103 St - Corona Plaza,,,,,,,,
104 St,,,,,,,,
110 St,,,,,,,,
111 St,,,,,,,,
116 St,,,,,,,,
116 St/Columbia University,,,,,,,,
125 St,1,manhattan,456,1,,,40.804138,-73.937594
125 St,1,manhattan,abcd,1,,,40.811109,-73.952343
125 St,,,,,,,,
125 St,,,,,,,,
121 St. ,,,,,,,,
135 St,1,manhattan,23,1,,,40.814229,-73.94077
137 St/City College,,,,,,,,
138 St - Grand Concourse,,,,,,,,
14 St,1,manhattan,ACEL,1,,,40.740893,-74.00169
14 St/Union Sq,1,manhattan,lnqrw,1,,,40.734789,-73.99073
14 St/Union Sq,0,manhattan,456,,,,40.734673,-73.989951
145 St,,,,,,,,
145th St. ,,,,,,,,
149 St - Grand Concourse,,,,,,,,
14th St,,,,,,,,
15 St/Prospect Park,,,,,,,,
155 St,,,,,,,,
157 St,,,,,,,,
161 St/Yankee Stadium,1,bronx,bd4,5,2,2,,40.827905,-73.925651
163 St - Amsterdam Av,,,,,,,,
167 St,,,,,,,,
168 St,1,manhattan,ac,1,,,40.840556,-73.940133
169 St,,,,,,,,
170 St,,,,,,,,
174 - 175 Sts,,,,,,,,
174 St,,,,,,,,
175 St,1,manhattan,a,1,,,40.847391,-73.939704
176 St,,,,,,,,
18 Av,,,,,,,,
18 St,,,,,,,,
181 St,,,,,,,,
182 - 183 Sts,,,,,,,,
183 St,,,,,,,,
190th St,,,,,,,,
191 St,,,,,,,,
2 Av,,,,,,,,
20 Av,,,,,,,,
207 St,,,,,,,,
21 St,,,,,,,,
21 St Queensbridge,1,queens,f,1,,,40.754203,-73.942836
215 St,,,,,,,,
219 St,,,,,,,,
225 St,,,,,,,,
23 St,1,manhattan,6,2,,,40.739864,-73.986599
23 St,,,,,,,,
23 St,,,,,,,,
23 St,,,,,,,,
23 St,,,,,,,,
231 St,1,bronx,1,2,1,1,40.878856,-73.904834
233 St,1,bronx,25,1,,,40.893193,-73.857473
238 St,,,,,,,,
25 Av,,,,,,,,
25 St,,,,,,,,
28 St,,,,,,,,
3 Av,,,,,,,,
3 Av-149 St,1,bronx,25,2,1,1,,40.816109,-73.917757
3 Av/138 St,,,,,,,,
30 Av,,,,,,,,
33 St,,,,,,,,
33 St/Rawson St,,,,,,,,
34 St/Herald Sq,1,manhattan,bdfmnqrw,1,,,40.749719,-73.987823
34 St/Hudson Yards,1,manhattan,7,1,,,,
34 St-Penn Station,1,manhattan,ace,3,1,,40.752287,-73.993391
34 St-Penn Station,1,manhattan,123,1,,,40.750373,-73.991057
36 Av,,,,,,,,
36 St,,,,,,,,
39 Av,,,,,,,,
4 Av - 9 St,,,,,,,,
40 St/Lowery St,,,,,,,,
42 St/Bryant Pk,,,,,,,,
42 St/Port Authority Bus Terminal,1,manhattan,ace,2,,,40.757308,-73.989735
45 St,,,,,,,,
46,,,,,,,,
46 St,,,,,,,,
46 St/Bliss St,,,,,,,,
47-50/Rockefeller Center,1,manhattan,bdfm,1,,,40.758663,-73.981329
49 St,1,manhattan,nqrw,1,,,40.759901,-73.984139
5 Av,,,,,,,,
5 Av/ 59 St,,,,,,,,
5 Av/53 St,,,,,,,,
50 St,1,manhattan,ce,1,,,,
51 St,1,manhattan,46,1,,,,
52 St,,,,,,,,
53 St,,,,,,,,
55 St,,,,,,,,
57 St,,,,,,,,
57 St - 7 Av,,,,,,,,
59 St,,,,,,,,
59th St/Columbus Circle,1,manhattan,abcd12,2,,1,,
6 Av,,,,,,,,
61 St/Woodside,1,queens,7,1,,,,
62 St,,,,,,,,
63 Dr - Rego Park,,,,,,,,
65,,,,,,,,
65 St,,,,,,,,
66 St/Lincoln Center,1,manhattan,12,2,1,1,,
67 Av,,,,,,,,
68 St/Hunter College,,,,,,,,
69 St,,,,,,,,
7 Av,,,,,,,,
71 St,,,,,,,,
72 St,1,manhattan,123,2,1,1,,
72 St,1,manhattan,q,1,,,,
74 St - Broadway,,,,,,,,
75 Av,,,,,,,,
75 St - Elderts Ln,,,,,,,,
77 St,,,,,,,,
79 St,,,,,,,,
8 Av,,,,,,,,
8 St/NYU,,,,,,,,
81 St - Museum of Natural History,,,,,,,,
82/Jackson ,,,,,,,,
85 St - Forest Pkwy,,,,,,,,
86 St,1,manhattan,q,1,,,,
9 Av,,,,,,,,
90 St - Elmhurst Av,,,,,,,,
96 St,1,manhattan,123,2,,,,
96 St,1,manhattan,q,1,,,,
Alabama Av,,,,,,,,
Allerton Av,,,,,,,,
Aqueduct - North Conduit Av,1,queens,a,1,,,,
Astor Pl,,,,,,,,
Astoria Blvd,,,,,,,,
Astoria/Ditmas Blvd,,,,,,,,
Atlantic Av,,,,,,,,
Atlantic/Barclays Center,1,brooklyn,bdnqr2345,3,,,,
